Description,Alternate_Description,Minimum Charge,,Day Charge,Manufacturer,,
,,2 Hour,4 Hour,Day,,,
"Auger, one man power, Gas",,32,55,74,Stihl,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Auger%2C+one+man+power%2C+Gas+Stihl&oq=Auger%2C+one+man+power%2C+Gas+Stihl&gs_l=psy-ab.3...10381.12119.0.12366.6.6.0.0.0.0.98.438.6.6.0....0...1.1.64.psy-ab..0.0.0.qeRja5TmU88&safe=active&ssui=on#imgrc=lQfUYNJtApqQkM:,
Stihl anchor driver, , ,10,10,Stihl,No Image Available,
"Auger, one man towable, hydraulic, gas",, ,65,87,GroundHog,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Auger%2C+one+man+towable%2C+hydraulic%2C+gas&oq=Auger%2C+one+man+towable%2C+hydraulic%2C+gas&gs_l=psy-ab.3...19825.20388.0.20858.2.2.0.0.0.0.208.406.0j1j1.2.0....0...1.1.64.psy-ab..0.0.0.0.ob3vrBA2DMk&safe=active&ssui=on#imgrc=Iy3Puxev7oQUvM:,
"Auger, 2 man power, Gas ",, ,52,75,GroundHog,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Auger%2C+2+man+power%2C+Gas+&oq=Auger%2C+2+man+power%2C+Gas+&gs_l=psy-ab.3...23002.23382.0.24261.2.2.0.0.0.0.78.145.2.2.0....0...1.1.64.psy-ab..0.0.0.0.n3LB2FG9ra0&safe=active&ssui=on#imgrc=-Uf6zLhYRV__jM:,
Extension,,8,,8,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=2+man+auger+extension&oq=2+man+auger+extension&gs_l=psy-ab.3...94322.99134.0.99388.21.21.0.0.0.0.222.2165.16j4j1.21.0....0...1.1.64.psy-ab..0.12.1325...0j0i67k1j0i8i30k1j0i24k1j0i30k1.wO_oahEyppo&safe=active&ssui=on#imgrc=zJMcyhXVxbcBOM:,
"hand auger- Clam Shell, Manual", , ,10,10,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Auger%2C+Manual&oq=Auger%2C+Manual&gs_l=psy-ab.3..0j0i8i30k1l3.14691.15046.0.15832.2.2.0.0.0.0.85.145.2.2.0....0...1.1.64.psy-ab..0.1.84.0.9Lj-M3RTBwo&safe=active&ssui=on#imgrc=P8gzZiskYt9EVM:,
Sledge hammer 16lb,,10,,10,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Sledge+hammer+16lb&oq=Sledge+hammer+16lb&gs_l=psy-ab.3...18105.18841.0.19334.2.2.0.0.0.0.90.175.2.2.0....0...1.1.64.psy-ab..0.0.0.0.UQerW66CbOg&safe=active&ssui=on#imgrc=yc9TXGIQRAa9hM:,
Sledge Hammer 20 lb,,10,,10,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Sledge+hammer+20lb&oq=Sledge+hammer+20lb&gs_l=psy-ab.3..0i8i7i30k1j0i10i24k1.14919.15663.0.15873.4.4.0.0.0.0.120.401.3j1.4.0....0...1.1.64.psy-ab..1.3.305...0i8i30k1j0i8i13i30k1.B-A7a8Dd5bM&safe=active&ssui=on#imgrc=8P6NYAkMAf10bM:,
Potato Fork,,10,,10,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Potato+Fork&oq=Potato+Fork&gs_l=psy-ab.3..0l3j0i5i30k1.22821.23195.0.23461.2.2.0.0.0.0.103.197.1j1.2.0....0...1.1.64.psy-ab..0.1.103.0.BShG_VVuo5M&safe=active&ssui=on#imgrc=aDihhIKf1wCdIM:,
Shovel round point,,10,,10,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Shovel+round+point&oq=Shovel+round+point&gs_l=psy-ab.3..0.38330.38653.0.39249.2.2.0.0.0.0.109.188.1j1.2.0....0...1.1.64.psy-ab..0.1.109.0.pPIht2vJ71A&safe=active&ssui=on#imgrc=r-igt_n6HBXrsM:,
Shovel Square,,10,,10,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Shovel+Square&oq=Shovel+Square&gs_l=psy-ab.3..0j0i8i30k1l3.44281.44807.0.45171.2.2.0.0.0.0.93.180.2.2.0....0...1.1.64.psy-ab..0.1.93.0.bSfOXNAPP2I&safe=active&ssui=on#imgrc=pLZzd1WOBSmGZM:,
AX,,10,,10,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=AX&oq=AX&gs_l=psy-ab.3..0l4.17247.17631.0.17932.2.2.0.0.0.0.98.184.2.2.0....0...1.1.64.psy-ab..0.1.97.0.E_sq5UeqSbc&safe=active&ssui=on#imgdii=xMjGF-HlVau3kM:&imgrc=3RB-yBKfYxXTUM:,
Mattox,,10,,10,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Mattox&oq=Mattox&gs_l=psy-ab.3..0l4.50079.50514.0.50825.2.2.0.0.0.0.135.252.0j2.2.0....0...1.1.64.psy-ab..0.1.117.0.QzBdfRLI5U8&safe=active&ssui=on#imgrc=w8lMvBNlDLCRoM:,
Fence Post Pounder,post pounder,8,,8,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Fence+Post+Pounder&oq=Fence+Post+Pounder&gs_l=psy-ab.3..0j0i24k1l3.16660.17011.0.17298.2.2.0.0.0.0.105.193.1j1.2.0....0...1.1.64.psy-ab..0.1.104.0.agWrD9RC874&safe=active&ssui=on#imgrc=a5IEwLuYIV30lM:,
Pulaski,,10,,10,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Pulaski&oq=Pulaski&gs_l=psy-ab.3..0l4.12661.13714.0.14291.2.2.0.0.0.0.105.202.1j1.2.0....0...1.1.64.psy-ab..0.1.104.0.XqyoGMhuHU4&safe=active&ssui=on#imgrc=zJ6o7SwDUb4YzM:,
"Rhino post pounder, Gas", , ,63,85,Rhino,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Rhino+post+pounder%2C+Gas&oq=Rhino+post+pounder%2C+Gas&gs_l=psy-ab.3...21697.23038.0.23464.2.2.0.0.0.0.67.128.2.2.0....0...1.1.64.psy-ab..0.0.0.0.9yrJ2UA3zX0&safe=active&ssui=on#imgrc=Jm0uQBcyrbKzrM:,
"bark dust spreader, manual",, ,,15,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=cage+bark+dust+spreader%2C&oq=cage+bark+dust+spreader%2C&gs_l=psy-ab.3...5167.6303.0.6535.5.5.0.0.0.0.139.509.3j2.5.0....0...1.1.64.psy-ab..0.0.0.AMOAqV53lWo&safe=active&ssui=on#imgrc=iYofkrNs5DrATM:,
"Backpack blower, Gas",, ,17,32,Stihl,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Backpack+blower%2C+Gas+stihl&oq=Backpack+blower%2C+Gas+stihl&gs_l=psy-ab.3...43736.45167.0.45373.6.6.0.0.0.0.142.485.5j1.6.0....0...1.1.64.psy-ab..0.1.142...0i8i30k1.Js19R0PpYxs&safe=active&ssui=on#imgrc=Eio0X5KyepzPWM:,
"Hand held blower, Gas",, ,,24,Stihl,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Hand+held+blower%2C+Gas&oq=Hand+held+blower%2C+Gas&gs_l=psy-ab.3...16103.17110.0.17972.2.2.0.0.0.0.72.140.2.2.0....0...1.1.64.psy-ab..0.0.0.0.4CeDlB0yffQ&safe=active&ssui=on#imgrc=NUDU3hwSplJa3M:,
"fence strecher, Manual",, ,,8,,https://www.google.com/search?q=fence+stretcher&source=lnms&tbm=isch&sa=X&ved=0ahUKEwj3qJ3zxYXWAhVS5GMKHTC3DPwQ_AUICygC&biw=1920&bih=901&safe=active&ssui=on#imgrc=7RocnX0F-ip3qM:,
"hedge clipper, electric",, ,19,30,Bosch,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=hedge+clipper%2C+electric&oq=hedge+clipper%2C+electric&gs_l=psy-ab.3...28815.30495.0.31924.2.2.0.0.0.0.68.121.2.2.0....0...1.1.64.psy-ab..0.0.0.0.osSlUb2RTZQ&safe=active&ssui=on#imgrc=-RYrhthEtVi-jM:,
"hedge clipper, gas",, ,32,43,Stihl,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=hedge+clipper%2C+gas&oq=hedge+clipper%2C+gas&gs_l=psy-ab.3...18795.20034.0.21258.2.2.0.0.0.0.70.133.2.2.0....0...1.1.64.psy-ab..0.0.0.0.vT1ogUbBTUI&safe=active&ssui=on#imgrc=yjCyBhh06mWLJM:,
"pole hedge clipper, Gas",, ,45,60,Stihl,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=pole+hedge+clipper%2C+Gas&oq=pole+hedge+clipper%2C+Gas&gs_l=psy-ab.3...17204.18598.0.19811.2.2.0.0.0.0.67.126.2.2.0....0...1.1.64.psy-ab..0.0.0.0.whxuxQpMi-M&safe=active&ssui=on#imgrc=yW4ICSpKurBQnM:,
"lawn mower, self propelled, bagger, gas",,27,36,49,Husquvarna,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=lawn+mower%2C+self+propelled%2C+bagger%2C+gas&oq=lawn+mower%2C+self+propelled%2C+bagger%2C+gas&gs_l=psy-ab.3...14101.18674.0.19899.2.2.0.0.0.0.79.140.2.2.0....0...1.1.64.psy-ab..0.0.0.0.ssoRLT1Q2zk&safe=active&ssui=on#imgrc=5iiJWIF_UfK-_M:,
"Orec Riding Mower, High weed to 2"" cutting height, Gas",, ,125,180,Orec,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Orec+Riding+Mower%2C+High+weed+to+2%22+cutting+height%2C+Gas&oq=Orec+Riding+Mower%2C+High+weed+to+2%22+cutting+height%2C+Gas&gs_l=psy-ab.3...61565.62530.0.63616.2.2.0.0.0.0.62.120.2.2.0....0...1.1.64.psy-ab..0.0.0.0.uD9B2P8cl9Y&safe=active&ssui=on#imgrc=lVf3FVJOlRukFM:,
highweed mower/Orec- walk behind,"Flail blades, ideal for blackberries and grass", ,60,145,Orec,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=highweed+mower%2FOrec-+walk+behind&oq=highweed+mower%2FOrec-+walk+behind&gs_l=psy-ab.3...27920.29231.0.30551.2.2.0.0.0.0.74.137.2.2.0....0...1.1.64.psy-ab..0.0.0.0.Nua4IGDzLuE&safe=active&ssui=on#imgrc=aDtLiicMin2PwM:,
"highweed mower, gas","Rotary style, ideal for small shrub brush and grasses.", ,50,135,Billy Goat,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=highweed+mower%2FOrec-+walk+behind&oq=highweed+mower%2FOrec-+walk+behind&gs_l=psy-ab.3...27920.29231.0.30551.2.2.0.0.0.0.74.137.2.2.0....0...1.1.64.psy-ab..0.0.0.0.Nua4IGDzLuE&safe=active&ssui=on#imgrc=0icoOZnwuwTZ6M:,
"Lawn Edger, Gas",, ,18,35,Ariens,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Lawn+Edger%2C+Gas+Ariens&oq=Lawn+Edger%2C+Gas+Ariens&gs_l=psy-ab.3...7831.9719.0.9880.7.7.0.0.0.0.135.522.6j1.7.0....0...1.1.64.psy-ab..0.1.134...0i8i30k1j0i24k1.ImnOYimzG1s&safe=active&ssui=on#imgrc=X5FE1uy2CNj-KM:,
"lawn roller, manual",, ,10,15,Brinly,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=lawn+roller%2C+manual&oq=lawn+roller%2C+manual&gs_l=psy-ab.3...20115.20630.0.21702.2.2.0.0.0.0.69.133.2.2.0....0...1.1.64.psy-ab..0.0.0.0.d1Nl8iiOie8&safe=active&ssui=on#imgrc=qH15dnvfnNM3BM:,
"power pruner/edger, gas", , ,35,60,Stihl,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=power+pruner%2Fedger%2C+gas&oq=power+pruner%2Fedger%2C+gas&gs_l=psy-ab.3...93008.94054.0.95107.2.2.0.0.0.0.59.116.2.2.0....0...1.1.64.psy-ab..0.0.0.0.XFa6py6VL6k&safe=active&ssui=on#imgrc=td9c3R8LIPrX8M:,
"limb chipper 6"", towable, gas",, ,155,207,Vermeer XL700,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=limb+chipper+Vermeer+XL700&oq=limb+chipper+Vermeer+XL700&gs_l=psy-ab.3...11601.14558.0.14894.13.13.0.0.0.0.91.998.13.13.0....0...1.1.64.psy-ab..0.0.0.T8KTgsUyE8I&safe=active&ssui=on#imgrc=CrTciq3x6RqT1M:,
"overseeder, turf seeder, gas", , ,48,65,Classen,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=overseeder%2C+turf+seeder%2C+gas&oq=overseeder%2C+turf+seeder%2C+gas&gs_l=psy-ab.3...106477.106830.0.107758.2.2.0.0.0.0.68.134.2.2.0....0...1.1.64.psy-ab..0.0.0.0.wO0wzMKNTYY&safe=active&ssui=on#imgrc=ZVKOnkJIfMvUTM:,
"hand pruner, pole pruner, Manual", , ,8,20,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=hand+pruner%2C+pole+pruner%2C+Manual&oq=hand+pruner%2C+pole+pruner%2C+Manual&gs_l=psy-ab.3...15904.18211.0.19169.2.2.0.0.0.0.63.121.2.2.0....0...1.1.64.psy-ab..0.0.0.0.YbGH0Sa-CUo&safe=active&ssui=on#imgrc=9nDBKcxjrcxX9M:,
magnesium rake,, ,10,10,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=magnesium+rake&oq=magnesium+rake&gs_l=psy-ab.3...17264.17806.0.18876.2.2.0.0.0.0.66.130.2.2.0....0...1.1.64.psy-ab..0.0.0.0.aMbPzxFn24M&safe=active&ssui=on#imgrc=SkmS7HAkI22K7M:,
"seed spreader, Manual",, ,10,15,Scotts,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=seed+spreader%2C+Manual&oq=seed+spreader%2C+Manual&gs_l=psy-ab.3..0i8i30k1.23404.27046.0.27736.4.4.0.0.0.0.76.274.4.4.0....0...1.1.64.psy-ab..0.2.149.0..0j0i67k1.0aTFaisBx-k&safe=active&ssui=on#imgdii=F_9yzkDVF4AzZM:&imgrc=IPx-d34aZ61GPM:,
"Sod Cutter, Gas ",, ,59,105,Classen,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Sod+Cutter%2C+Gas+&oq=Sod+Cutter%2C+Gas+&gs_l=psy-ab.3..0i24k1.72359.72766.0.74413.2.2.0.0.0.0.78.144.2.2.0....0...1.1.64.psy-ab..0.1.78.0.PyDRpMei-C8&safe=active&ssui=on#imgrc=b7NVUNASPaLWUM:,
"sprayer backpack, Manual",, ,15,20,Solo,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=sprayer+backpack%2C+Manual&oq=sprayer+backpack%2C+Manual&gs_l=psy-ab.3...82675.83356.0.84449.2.2.0.0.0.0.113.174.1j1.2.0....0...1.1.64.psy-ab..0.0.0.0.pYIqHK4eD-s&safe=active&ssui=on#imgrc=nlbgtM9fjaU9GM:,
"weed saw blade/string, gas",, ,25,45,Stihl,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=weed+saw+blade%2Fstring%2C+gas+Stihl&oq=weed+saw+blade%2Fstring%2C+gas+Stihl&gs_l=psy-ab.3...15249.16903.0.17157.6.6.0.0.0.0.80.398.6.6.0....0...1.1.64.psy-ab..0.0.0.O4XLsGJAS-M&safe=active&ssui=on#imgrc=u0LPMxBv846WkM:,
bobcat mt 52 w/auger,, ,195,230,Bobcat,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=bobcat+mt+52+w%2Fauger&oq=bobcat+mt+52+w%2Fauger&gs_l=psy-ab.3...24235.24884.0.25584.2.2.0.0.0.0.76.138.2.2.0....0...1.1.64.psy-ab..0.0.0.0.NycX44n_lkg&safe=active&ssui=on#imgrc=1mXqzsGJx3w7XM:,
bobcat mt 52 w/tiller,, ,195,230,Bobcat,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=bobcat+mt+52+w%2Ftiller&oq=bobcat+mt+52+w%2Ftiller&gs_l=psy-ab.3...70132.70812.0.71070.2.2.0.0.0.0.69.133.2.2.0....0...1.1.64.psy-ab..0.0.0.0.VOqZYq2hvkM&safe=active&ssui=on#imgrc=9Yh5S-atOI1T4M:,
Barreto Stump Grinder , , ,133,178,Barreto,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Barreto+Stump+Grinder+&oq=Barreto+Stump+Grinder+&gs_l=psy-ab.3..0i30k1j0i24k1l3.54942.56470.0.57312.2.2.0.0.0.0.159.310.0j2.2.0....0...1.1.64.psy-ab..0.1.151.0.1A0nYgRQmwo&safe=active&ssui=on#imgrc=0MoA7ymAbmKWxM:,
Handlebar Stump Grinder, , ,88,117,Toro,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Handlebar+Stump+Grinder&oq=Handlebar+Stump+Grinder&gs_l=psy-ab.3..0i24k1.15532.18299.0.18873.2.2.0.0.0.0.78.139.2.2.0....0...1.1.64.psy-ab..0.1.77.0.xevgstZ6qbA&safe=active&ssui=on#imgrc=ak-ycud44zHddM:,
Lawn Edger w/ powerhead,, ,45,60,Stihl,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Lawn+Edger+w%2F+powerhead+stihl&oq=Lawn+Edger+w%2F+powerhead+stihl&gs_l=psy-ab.3...9492.13355.0.13727.6.6.0.0.0.0.93.448.6.6.0....0...1.1.64.psy-ab..0.0.0.7KyaIeuyKdw&safe=active&ssui=on#imgrc=4wG04tkg3IdTRM:,
Hot Water Pressure Washer,, ,148,148,Shark,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Hot+Water+Pressure+Washer&oq=Hot+Water+Pressure+Washer&gs_l=psy-ab.3..0l4.19178.20568.0.20899.2.2.0.0.0.0.123.187.1j1.2.0....0...1.1.64.psy-ab..0.1.113.0.9HvzIBvymbg&safe=active&ssui=on#imgrc=dnCh44jrLutwkM:,
Pressure washer hose ,, ,10,10,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Pressure+washer+hose&oq=Pressure+washer+hose&gs_l=psy-ab.3..0l4.3068.33079.0.33572.3.3.0.0.0.0.78.197.3.3.0....0...1.1.64.psy-ab..0.2.134.0.7nKjTTyuBbY&safe=active&ssui=on#imgrc=lf9p3XCQkNAdYM:,
"preasure washer 2700 PSI (w/ wand, tips, 1 section of hose)", , ,49,65,MiT m,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=preasure+washer+2700+PSI&oq=preasure+washer+2700+PSI&gs_l=psy-ab.3..0i8i13i30k1l4.24251.26367.0.27097.2.2.0.0.0.0.89.148.2.2.0....0...1.1.64.psy-ab..0.1.88.0.jsEVLxRvKQE&safe=active&ssui=on#imgrc=-msoj9Syo7mk7M:,
pressure washer 400 PSI, , ,56,75,MiT m,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=preasure+washer+4000+PSI&oq=preasure+washer+4000+PSI&gs_l=psy-ab.3..0i13k1j0i13i5i30k1.48422.48637.0.48890.2.2.0.0.0.0.80.148.2.2.0....0...1.1.64.psy-ab..0.1.80.ISdw4hlN2WA&safe=active&ssui=on#imgrc=UicNSn4aPD8cSM:,
"water jet 20""",, ,36,48,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=water+jetter+20%22&oq=water+jetter+20%22&gs_l=psy-ab.3...17889.18196.0.18997.3.3.0.0.0.0.100.238.2j1.3.0....0...1.1.64.psy-ab..1.0.0.eXKTmMj7Rpc&safe=active&ssui=on#imgrc=xQ61co7mRD27pM:,
,,,,,,"Can you take off the ""Best Seller"" Text off the picture",
"utility vehicle 4x4, Diesel",, ,125,125,Kubota,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=+Kubota+RTV&oq=+Kubota+RTV&gs_l=psy-ab.3..0l4.30282.30282.0.30775.1.1.0.0.0.0.76.76.1.1.0....0...1.1.64.psy-ab..0.1.76.Vexu6T2biTw&safe=active&ssui=on#imgrc=eIXtPthTxkiKoM:,
"Mower, electric",,  ,20,25,Black and Decker,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Mower%2C+electric+black+and+decker&oq=Mower%2C+electric+black+and+decker&gs_l=psy-ab.3..0i8i30k1l2.5075.8455.0.8751.17.17.0.0.0.0.180.1438.15j2.17.0....0...1.1.64.psy-ab..0.12.1063...0i5i30k1.pAHEmywXivw&safe=active&ssui=on#imgrc=DiQ7npMFjvwpQM:,
"Pasture Drag, towable",, ,60,60,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=pasture+drag&oq=pasture+drag&gs_l=psy-ab.3..0l4.22644.25731.0.27571.13.13.0.0.0.0.102.990.12j1.13.0....0...1.1.64.psy-ab..0.12.931.0..0i67k1.c22rVLWIvl8&safe=active&ssui=on#imgrc=S-GDDWsuM_6RPM:,
"seed spreader, towable  ",, ,18,30,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=seed+spreader%2C+towable++&oq=seed+spreader%2C+towable++&gs_l=psy-ab.3...26476.27871.0.28484.2.2.0.0.0.0.65.125.2.2.0....0...1.1.64.psy-ab..0.0.0.0.gXCcoQWSpKg&safe=active&ssui=on#imgrc=mPzVIyGdluT7pM:,
,,,,,,,
Material and Arial Lift,,,,,,,
Jacks,,,,,,,
jack bottle 5-8t,,8,,8,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=jack+bottle%2C+5-8t&oq=jack+bottle%2C+5-8t&gs_l=psy-ab.3...33765.34660.0.35241.2.2.0.0.0.0.80.143.2.2.0....0...1.1.64.psy-ab..0.0.0.0.wLMtwb_SN1w&safe=active&ssui=on#imgrc=yW3r08ewAH3kcM:,
jack 15t,,15,,15,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=jack%2C+15t&oq=jack%2C+15t&gs_l=psy-ab.3...25782.55663.0.56811.4.4.0.0.0.0.275.643.1j2j1.4.0....0...1.1.64.psy-ab..0.0.0.0.7R0RKXYwwmM&safe=active&ssui=on#imgrc=A_0hhBs9oBGYVM:,
jack 20t,,17,,17,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=jack%2C+20t&oq=jack%2C+20t&gs_l=psy-ab.3...80129.80538.0.80791.2.2.0.0.0.0.74.145.2.2.0....0...1.1.64.psy-ab..0.0.0.0.A44RwZn22KQ&safe=active&ssui=on#imgrc=yuK6H9Cpxr1n6M:,
"jack toe lift 42""",,10,,10,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=jack%2C+toe+lift%2C+42%22&oq=jack%2C+toe+lift%2C+42%22&gs_l=psy-ab.3...12286.14769.0.15646.2.2.0.0.0.0.70.139.2.2.0....0...1.1.64.psy-ab..0.0.0.0.K8wJEtx-xdo&safe=active&ssui=on#imgrc=gOgQZIZ32H7PhM:,
"jack, house, screw",,8,,8,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=jack%2C+house%2C+screw&oq=jack%2C+house%2C+screw&gs_l=psy-ab.3..0i8i30k1.48784.49820.0.50188.2.2.0.0.0.0.199.277.1j1.2.0....0...1.1.64.psy-ab..0.1.78.0.LJtDfla0oBs&safe=active&ssui=on#imgrc=jApM40rp8px5nM:,
"jack, shoring",,12,,12,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=shoring+jack&oq=shoring+jack&gs_l=psy-ab.3..0l4.54674.56886.0.57762.12.12.0.0.0.0.85.877.12.12.0....0...1.1.64.psy-ab..0.12.866...0i67k1.WrYhA5B8xpk&safe=active&ssui=on#imgrc=OE8Zc6a2iSsPoM:,
"jack, joist, screw",,7,,7,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Joist+screw+jack+Jet&oq=Joist+screw+jack+Jet&gs_l=psy-ab.3...19929.21684.0.21892.6.5.1.0.0.0.250.527.4j0j1.5.0....0...1.1.64.psy-ab..0.0.0.c-bA_DkBWRs&safe=active&ssui=on#imgrc=VaC80HpMDzCdDM:,
"jack, pallet", ,25,,35,Jet,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=pallet+jack&oq=Palle&gs_l=psy-ab.3.0.0i67k1j0l3.12171.13114.0.14426.5.5.0.0.0.0.156.623.0j5.5.0....0...1.1.64.psy-ab..0.5.622.NIiFl7Kc3SE&safe=active&ssui=on#imgrc=3oo576dJ9B21MM:,
jack panel lift sheetrock/plywood,,30,,30,Haulette,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=jack%2C+panel+lift+sheetrock%2Fplywood&oq=jack%2C+panel+lift+sheetrock%2Fplywood&gs_l=psy-ab.3...29404.29756.0.30906.2.2.0.0.0.0.155.282.0j2.2.0....0...1.1.64.psy-ab..0.0.0.0.IKPD9PqCEIg&safe=active&ssui=on#imgrc=Cor0zMKUvySC9M:,
jack roof,,8,,8,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=jack%2C+roof&oq=jack%2C+roof&gs_l=psy-ab.3..0l4.29287.29591.0.29845.2.2.0.0.0.0.183.314.0j2.2.0....0...1.1.64.psy-ab..0.1.183.0.H0dTaB5zI2w&safe=active&ssui=on#imgrc=Hh1vn6jqhdZdvM:,
"fence post puller, manual", ,8,,8,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Puller%2C+Fence+Post&oq=Puller%2C+Fence+Post&gs_l=psy-ab.3..0i8i30k1l4.98476.98476.0.99373.1.1.0.0.0.0.91.91.1.1.0....0...1.1.64.psy-ab..0.1.91.S3bLrUrKUdI&safe=active&ssui=on#imgrc=hgfxWE5RCHAwfM:,
Large transmission jack,, ,39,52,,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Large+transmission+jack&oq=Large+transmission+jack&gs_l=psy-ab.3..0i24k1.17779.19068.0.19332.6.6.0.0.0.0.97.503.6.6.0....0...1.1.64.psy-ab..0.3.242...0i13k1.wBgo--uVuY8&safe=active&ssui=on#imgrc=76m6GRyRIXtpWM:,
"Genie Material Lift 9.5', Hand crank", , ,29,48.5,Genie,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Genie+Material+Lift+9.5%27%2C+Hand+crank&oq=Genie+Material+Lift+9.5%27%2C+Hand+crank&gs_l=psy-ab.3...281149.281589.0.282586.2.2.0.0.0.0.80.147.2.2.0....0...1.1.64.psy-ab..0.0.0.0.exkM6LUroLo&safe=active&ssui=on#imgrc=iAti77kKxIqWZM:,
"Genie Material Lift 15',  Hand Crank", , ,34.5,59,Genie,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Genie+Material+Lift+15%27%2C++Hand+Crank&oq=Genie+Material+Lift+15%27%2C++Hand+Crank&gs_l=psy-ab.3...16998.17400.0.18219.2.2.0.0.0.0.69.133.2.2.0....0...1.1.64.psy-ab..0.0.0.0.9FLRFI3A334&safe=active&ssui=on#imgrc=A4YfHXeyMbhbkM:,
"Genie Material lift 24', Hand Crank",,125,,125,Genie,https://www.google.com/search?biw=1920&bih=901&tbm=isch&sa=1&q=Genie+Material+lift+24%27%2C+Hand+Crank&oq=Genie+Material+lift+24%27%2C+Hand+Crank&gs_l=psy-ab.3...24866.25263.0.25613.2.2.0.0.0.0.71.137.2.2.0....0...1.1.64.psy-ab..0.0.0.0.2oP56Tm1FNc&safe=active&ssui=on#imgrc=5aF5dIeRqDCydM:,
